TITLE = "vncfd python"
VARIABLES = "X", "Y"
-3.1286,3.3046,0
-2.9036,3.1421,0
-2.6786,2.9796,0
-2.4536,2.8171,0
-2.2286,2.6546,0
-2.0036,2.4921,0
-1.7786,2.3296,0
-1.5536,2.1671,0
-1.3286,2.0046,0
-1.1036,1.8421,0
-0.87864,1.6796,0
-0.65364,1.5171,0
-0.42863,1.3545,0
-0.20364,1.1911,0
0.029972,1.0163,0
0.04277,1.0235,0
0.052463,0.75145,0
0.054202,0.50015,0
0.054331,0.25001,0
0.054341,-7.5894e-19,0
0.054331,-0.25001,0
0.054202,-0.50015,0
0.052463,-0.75145,0
0.04277,-1.0235,0
-0.19341,-1.2043,0
-0.41844,-1.3685,0
-0.64346,-1.5312,0
-0.86846,-1.6937,0
-1.0935,-1.8562,0
-1.3185,-2.0187,0
-1.5435,-2.1812,0
-1.7685,-2.3437,0
-1.9935,-2.5062,0
-2.2185,-2.6687,0
-2.4435,-2.8312,0
-2.6685,-2.9937,0
-2.8935,-3.1562,0
-3.1185,-3.3187,0
-3.3435,-3.4812,0
-3.5685,-3.6437,0
-3.7935,-3.8062,0
-4.0185,-3.9687,0
-4.2435,-4.1312,0
-4.4685,-4.2937,0
-4.6935,-4.4562,0
-4.9185,-4.6187,0
-5.1435,-4.7812,0
-5.3685,-4.9437,0
-5.5935,-5.1062,0
-5.8185,-5.2687,0
-6.0435,-5.4312,0
-6.2685,-5.5937,0
-6.4935,-5.7562,0
-6.7185,-5.9187,0
-6.9435,-6.0812,0
-7.1685,-6.2437,0
-7.3935,-6.4062,0
-7.6185,-6.5687,0
-7.8435,-6.7312,0
-8.0685,-6.8937,0
-8.2935,-7.0562,0
-8.5186,-7.2187,0
-8.7447,-7.3808,0
-8.9837,-7.5461,0
-9.249,-7.553,0
-9.4999,-7.5542,0
-9.75,-7.5543,0
-10,-7.5543,0
-10.25,-7.5543,0
-10.5,-7.5542,0
-10.752,-7.552,0
-11.03,-7.54,0
-11.159,-7.2461,0
-11.269,-6.9691,0
-11.373,-6.6908,0
-11.472,-6.4111,0
-11.568,-6.1298,0
-11.659,-5.8472,0
-11.745,-5.5632,0
-11.828,-5.278,0
-11.906,-4.9915,0
-11.979,-4.7039,0
-12.048,-4.4151,0
-12.113,-4.1254,0
-12.174,-3.8347,0
-12.23,-3.5432,0
-12.281,-3.2508,0
-12.328,-2.9576,0
-12.371,-2.6638,0
-12.409,-2.3694,0
-12.443,-2.0744,0
-12.472,-1.779,0
-12.497,-1.4831,0
-12.517,-1.1869,0
-12.533,-0.8904,0
-12.544,-0.59372,0
-12.551,-0.29689,0
-12.553,3.5207e-16,0
-12.551,0.29689,0
-12.544,0.59372,0
-12.533,0.8904,0
-12.517,1.1869,0
-12.497,1.4831,0
-12.472,1.779,0
-12.443,2.0744,0
-12.409,2.3694,0
-12.371,2.6638,0
-12.328,2.9576,0
-12.281,3.2508,0
-12.23,3.5432,0
-12.174,3.8347,0
-12.113,4.1254,0
-12.048,4.4151,0
-11.979,4.7039,0
-11.906,4.9915,0
-11.828,5.278,0
-11.745,5.5632,0
-11.659,5.8472,0
-11.568,6.1298,0
-11.472,6.4111,0
-11.373,6.6908,0
-11.269,6.9691,0
-11.159,7.2461,0
-11.03,7.54,0
-10.752,7.552,0
-10.5,7.5542,0
-10.25,7.5543,0
-10,7.5543,0
-9.75,7.5543,0
-9.4999,7.5542,0
-9.249,7.553,0
-8.9837,7.5461,0
-8.7447,7.3808,0
-8.5186,7.2187,0
-8.2935,7.0562,0
-8.0685,6.8937,0
-7.8435,6.7312,0
-7.6185,6.5687,0
-7.3935,6.4062,0
-7.1685,6.2437,0
-6.9435,6.0812,0
-6.7185,5.9187,0
-6.4935,5.7562,0
-6.2685,5.5937,0
-6.0435,5.4312,0
-5.8185,5.2687,0
-5.5935,5.1062,0
-5.3685,4.9437,0
-5.1435,4.7812,0
-4.9185,4.6187,0
-4.6935,4.4562,0
-4.4685,4.2937,0
-4.2435,4.1312,0
-4.0185,3.9687,0
-3.7935,3.8062,0
-3.5685,3.6437,0
-3.3435,3.4812,0
-3.1185,3.3187,0
-2.8935,3.1562,0
-2.6685,2.9937,0
-2.4435,2.8312,0
-2.2185,2.6687,0
-1.9935,2.5062,0
-1.7685,2.3437,0
-1.5435,2.1812,0
-1.3185,2.0187,0
-1.0935,1.8562,0
-0.86846,1.6937,0
-0.64346,1.5312,0
-0.41844,1.3685,0
-0.19341,1.2043,0
0.04277,1.0235,0
0.057407,1.0318,0
0.072131,0.75277,0
0.07525,0.50036,0
0.075561,0.25004,0
0.075592,-8.6736e-19,0
0.075561,-0.25004,0
0.07525,-0.50036,0
0.072131,-0.75277,0
0.057407,-1.0318,0
-0.18105,-1.2196,0
-0.40615,-1.3853,0
-0.63121,-1.5481,0
-0.85622,-1.7106,0
-1.0812,-1.8731,0
-1.3062,-2.0356,0
-1.5312,-2.1981,0
-1.7562,-2.3606,0
-1.9812,-2.5231,0
-2.2062,-2.6856,0
-2.4312,-2.8481,0
-2.6562,-3.0106,0
-2.8812,-3.1731,0
-3.1062,-3.3356,0
-3.3312,-3.4981,0
-3.5562,-3.6606,0
-3.7812,-3.8231,0
-4.0062,-3.9856,0
-4.2312,-4.1481,0
-4.4562,-4.3106,0
-4.6812,-4.4731,0
-4.9062,-4.6356,0
-5.1312,-4.7981,0
-5.3562,-4.9606,0
-5.5812,-5.1231,0
-5.8062,-5.2856,0
-6.0312,-5.4481,0
-6.2562,-5.6106,0
-6.4812,-5.7731,0
-6.7062,-5.9356,0
-6.9312,-6.0981,0
-7.1562,-6.2606,0
-7.3812,-6.4231,0
-7.6062,-6.5856,0
-7.8312,-6.7481,0
-8.0562,-6.9106,0
-8.2812,-7.0731,0
-8.5065,-7.2356,0
-8.7336,-7.3975,0
-8.9777,-7.5627,0
-9.248,-7.5731,0
-9.4997,-7.5754,0
-9.75,-7.5756,0
-10,-7.5756,0
-10.25,-7.5756,0
-10.5,-7.5752,0
-10.753,-7.5713,0
-11.04,-7.5531,0
-11.177,-7.2543,0
-11.288,-6.9765,0
-11.392,-6.6979,0
-11.492,-6.4178,0
-11.587,-6.1363,0
-11.678,-5.8534,0
-11.765,-5.5691,0
-11.847,-5.2835,0
-11.925,-4.9967,0
-11.999,-4.7088,0
-12.068,-4.4198,0
-12.133,-4.1297,0
-12.194,-3.8388,0
-12.25,-3.5469,0
-12.301,-3.2542,0
-12.349,-2.9607,0
-12.391,-2.6666,0
-12.43,-2.3719,0
-12.463,-2.0766,0
-12.493,-1.7808,0
-12.518,-1.4847,0
-12.538,-1.1881,0
-12.554,-0.89134,0
-12.565,-0.59434,0
-12.572,-0.2972,0
-12.574,4.8098e-16,0
-12.572,0.2972,0
-12.565,0.59434,0
-12.554,0.89134,0
-12.538,1.1881,0
-12.518,1.4847,0
-12.493,1.7808,0
-12.463,2.0766,0
-12.43,2.3719,0
-12.391,2.6666,0
-12.349,2.9607,0
-12.301,3.2542,0
-12.25,3.5469,0
-12.194,3.8388,0
-12.133,4.1297,0
-12.068,4.4198,0
-11.999,4.7088,0
-11.925,4.9967,0
-11.847,5.2835,0
-11.765,5.5691,0
-11.678,5.8534,0
-11.587,6.1363,0
-11.492,6.4178,0
-11.392,6.6979,0
-11.288,6.9765,0
-11.177,7.2543,0
-11.04,7.5531,0
-10.753,7.5713,0
-10.5,7.5752,0
-10.25,7.5756,0
-10,7.5756,0
-9.75,7.5756,0
-9.4997,7.5754,0
-9.248,7.5731,0
-8.9777,7.5627,0
-8.7336,7.3975,0
-8.5065,7.2356,0
-8.2812,7.0731,0
-8.0562,6.9106,0
-7.8312,6.7481,0
-7.6062,6.5856,0
-7.3812,6.4231,0
-7.1562,6.2606,0
-6.9312,6.0981,0
-6.7062,5.9356,0
-6.4812,5.7731,0
-6.2562,5.6106,0
-6.0312,5.4481,0
-5.8062,5.2856,0
-5.5812,5.1231,0
-5.3562,4.9606,0
-5.1312,4.7981,0
-4.9062,4.6356,0
-4.6812,4.4731,0
-4.4562,4.3106,0
-4.2312,4.1481,0
-4.0062,3.9856,0
-3.7812,3.8231,0
-3.5562,3.6606,0
-3.3312,3.4981,0
-3.1062,3.3356,0
-2.8812,3.1731,0
-2.6562,3.0106,0
-2.4312,2.8481,0
-2.2062,2.6856,0
-1.9812,2.5231,0
-1.7562,2.3606,0
-1.5312,2.1981,0
-1.3062,2.0356,0
-1.0812,1.8731,0
-0.85622,1.7106,0
-0.63121,1.5481,0
-0.40615,1.3853,0
-0.18105,1.2196,0
0.057407,1.0318,0
0.074232,1.0414,0
0.095294,0.75491,0
0.10048,0.5008,0
0.10116,0.2501,0
0.10124,-8.6736e-19,0
0.10116,-0.2501,0
0.10048,-0.5008,0
0.095294,-0.75491,0
0.074232,-1.0414,0
-0.16609,-1.2374,0
-0.39134,-1.4052,0
-0.61646,-1.5684,0
-0.84148,-1.731,0
-1.0665,-1.8935,0
-1.2915,-2.056,0
-1.5165,-2.2185,0
-1.7415,-2.381,0
-1.9665,-2.5435,0
-2.1915,-2.706,0
-2.4165,-2.8685,0
-2.6415,-3.031,0
-2.8665,-3.1935,0
-3.0915,-3.356,0
-3.3165,-3.5185,0
-3.5415,-3.681,0
-3.7665,-3.8435,0
-3.9915,-4.006,0
-4.2165,-4.1685,0
-4.4415,-4.331,0
-4.6665,-4.4935,0
-4.8915,-4.656,0
-5.1165,-4.8185,0
-5.3415,-4.981,0
-5.5665,-5.1435,0
-5.7915,-5.306,0
-6.0165,-5.4685,0
-6.2415,-5.631,0
-6.4665,-5.7935,0
-6.6915,-5.956,0
-6.9165,-6.1185,0
-7.1415,-6.281,0
-7.3665,-6.4435,0
-7.5915,-6.606,0
-7.8165,-6.7685,0
-8.0415,-6.931,0
-8.2665,-7.0935,0
-8.492,-7.2559,0
-8.7206,-7.4175,0
-8.9705,-7.5821,0
-9.2464,-7.597,0
-9.4994,-7.6007,0
-9.7499,-7.6012,0
-10,-7.6012,0
-10.25,-7.6011,0
-10.501,-7.6003,0
-10.756,-7.5938,0
-11.052,-7.5678,0
-11.197,-7.2643,0
-11.311,-6.9855,0
-11.415,-6.7063,0
-11.515,-6.4259,0
-11.611,-6.144,0
-11.702,-5.8607,0
-11.789,-5.5761,0
-11.871,-5.2902,0
-11.949,-5.003,0
-12.023,-4.7147,0
-12.092,-4.4254,0
-12.157,-4.1349,0
-12.218,-3.8436,0
-12.274,-3.5514,0
-12.326,-3.2583,0
-12.373,-2.9645,0
-12.416,-2.67,0
-12.454,-2.3749,0
-12.488,-2.0792,0
-12.517,-1.7831,0
-12.542,-1.4865,0
-12.562,-1.1896,0
-12.578,-0.89246,0
-12.59,-0.59509,0
-12.596,-0.29758,0
-12.599,5.6294e-16,0
-12.596,0.29758,0
-12.59,0.59509,0
-12.578,0.89246,0
-12.562,1.1896,0
-12.542,1.4865,0
-12.517,1.7831,0
-12.488,2.0792,0
-12.454,2.3749,0
-12.416,2.67,0
-12.373,2.9645,0
-12.326,3.2583,0
-12.274,3.5514,0
-12.218,3.8436,0
-12.157,4.1349,0
-12.092,4.4254,0
-12.023,4.7147,0
-11.949,5.003,0
-11.871,5.2902,0
-11.789,5.5761,0
-11.702,5.8607,0
-11.611,6.144,0
-11.515,6.4259,0
-11.415,6.7063,0
-11.311,6.9855,0
-11.197,7.2643,0
-11.052,7.5678,0
-10.756,7.5938,0
-10.501,7.6003,0
-10.25,7.6011,0
-10,7.6012,0
-9.7499,7.6012,0
-9.4994,7.6007,0
-9.2464,7.597,0
-8.9705,7.5821,0
-8.7206,7.4175,0
-8.492,7.2559,0
-8.2665,7.0935,0
-8.0415,6.931,0
-7.8165,6.7685,0
-7.5915,6.606,0
-7.3665,6.4435,0
-7.1415,6.281,0
-6.9165,6.1185,0
-6.6915,5.956,0
-6.4665,5.7935,0
-6.2415,5.631,0
-6.0165,5.4685,0
-5.7915,5.306,0
-5.5665,5.1435,0
-5.3415,4.981,0
-5.1165,4.8185,0
-4.8915,4.656,0
-4.6665,4.4935,0
-4.4415,4.331,0
-4.2165,4.1685,0
-3.9915,4.006,0
-3.7665,3.8435,0
-3.5415,3.681,0
-3.3165,3.5185,0
-3.0915,3.356,0
-2.8665,3.1935,0
-2.6415,3.031,0
-2.4165,2.8685,0
-2.1915,2.706,0
-1.9665,2.5435,0
-1.7415,2.381,0
-1.5165,2.2185,0
